energy_eV,detected,total,percent,stderr_pct,files
4990,3608,100000,3.6080,0.0590,1
4991,26941,750000,3.5921,0.0215,1
4993,26984,750000,3.5979,0.0215,1
4995,26938,750000,3.5917,0.0215,1
4997,26511,750000,3.5348,0.0213,1
4999,26808,750000,3.5744,0.0214,1
5000,78898,2210000,3.5700,0.0125,5
5001,98179,2750000,3.5701,0.0112,3
5002,71450,2000000,3.5725,0.0131,2
5003,152073,4250000,3.5782,0.0090,5
5003.5,62712,1750000,3.5835,0.0141,2
5004,62682,1750000,3.5818,0.0140,2
5004.25,35590,1000000,3.5590,0.0185,1
5004.5,63016,1750000,3.6009,0.0141,2
5004.75,35872,1000000,3.5872,0.0186,1
5005,90169,2500000,3.6068,0.0118,3
5005.25,35712,1000000,3.5712,0.0186,1
5005.5,62814,1750000,3.5894,0.0141,2
5005.75,35966,1000000,3.5966,0.0186,1
5006,62536,1750000,3.5735,0.0140,2
5006.25,36188,1000000,3.6188,0.0187,1
5006.5,62703,1750000,3.5830,0.0141,2
5007,89771,2500000,3.5908,0.0118,3
5007.5,35736,1000000,3.5736,0.0186,1
5008,35766,1000000,3.5766,0.0186,1
5009,63037,1750000,3.6021,0.0141,2
5010,35755,1000000,3.5755,0.0186,1
